Variable	varimp	roc	gene
CREB3L1	0.147212574941212	20.3356458764612	SFTPC
CREB3L2	0.0828938388429054	0.570631770604862	SFTPC
CREB3L3	0.0819171682983452	4.6603255737623	SFTPC
CREB3L4	0.0790456427127333	4.99338477177913	SFTPC
CREB5	0.11551029532767	7.0001319247842	SFTPC
CREBL2	0.0905782301025472	9.19393874811436	SFTPC
CREBZF	0.0799687227707221	3.53598281245347	SFTPC
CREM	0.0798998184797997	7.11921699264795	SFTPC
CRX	0.0757386842625179	0.561317706567791	SFTPC
CSRNP1	0.111638127210561	8.01132498708125	SFTPC
CSRNP2	0.0871826507154561	4.92659149809672	SFTPC
CSRNP3	0.0790983738116934	1.54412211051467	SFTPC
CTCF	0.0875829289338331	6.84628983903883	SFTPC
CTCFL	0.078282374751209	2.89882670406734	SFTPC
CUX1	0.045163599206487	9.28737525359612	SFTPC
CUX2	0.0879502333753761	6.99289577402046	SFTPC
CXXC1	0.0753894935086857	4.41598793840748	SFTPC
CXXC4	0.0719007619635574	9.5026579735098	SFTPC
CXXC5	0.0740303781210678	2.00423795277751	SFTPC
DACH1	0.0837199111422383	0.866381482639999	SFTPC
DACH2	0.0627399112625974	2.7316492713893	SFTPC
DBP	0.0962131442859388	7.2981675658576	SFTPC
DBX2	0.0855858406718341	0.35318421332731	SFTPC
DDIT3	0.162514264820145	1.57420465196397	SFTPC
DEAF1	0.103871948225994	10.120814646038	SFTPC
DLX1	0.059552872454562	1.84188249464135	SFTPC
DLX2	0.0742871588259145	1.43344365458028	SFTPC
DLX3	0.150437662699368	12.78126177311	SFTPC
DLX4	0.0469076297557751	15.2999641674892	SFTPC
DLX5	0.0974040819881175	4.71282737972471	SFTPC
DLX6	0.0795013574758123	2.46122263060442	SFTPC
DMBX1	0.0857707529977413	3.92369559767421	SFTPC
DMRT1	0.0790463745697079	0.237151259018332	SFTPC
DMRT2	0.118438717589432	8.27000329500034	SFTPC
DMRT3	0.0706161980416971	0.182344122943359	SFTPC
DMRTA1	0.0900090231311866	13.9293635180175	SFTPC
DMRTA2	0.0837263638395351	0.417792545787273	SFTPC
DMRTB1	0.0778857053654682	1.87038166172686	SFTPC
DMRTC2	0.0614473817091721	2.29140369164324	SFTPC
DMTF1	0.0947049947316459	2.27840499750386	SFTPC
DNMT1	0.109754500757113	7.54604560134013	SFTPC
DNTTIP1	0.0924478843060491	14.849968399102	SFTPC
