ntree,mtry,sample.fraction,min.node.size,rmse
200,30,0.5,12,141953.325370642
200,32,0.5,12,135055.586048494
200,34,0.5,12,135880.273969175
200,36,0.5,12,135202.897999026
200,38,0.5,12,134289.098672673
200,40,0.5,12,134278.846490349
200,42,0.5,12,132468.863312398
200,44,0.5,12,133829.276618516
200,46,0.5,12,134404.338891955
200,48,0.5,12,133353.690073715
200,50,0.5,12,130384.948969353
200,10,0.6,12,153717.220627523
200,12,0.6,12,144884.30729163
200,14,0.6,12,144984.535845414
200,16,0.6,12,143991.35806852
200,18,0.6,12,142795.450713546
200,20,0.6,12,141756.143168186
200,22,0.6,12,140003.826671156
200,24,0.6,12,138046.211589598
200,26,0.6,12,134002.425030931
200,28,0.6,12,136963.864364341
200,30,0.6,12,134500.331135193
200,32,0.6,12,135286.611857372
200,34,0.6,12,133716.437951274
200,36,0.6,12,133864.353839756
200,38,0.6,12,134271.850051828
200,40,0.6,12,133530.668990953
200,42,0.6,12,131899.788003814
200,44,0.6,12,131472.838085598
200,46,0.6,12,128643.548100412
200,48,0.6,12,129928.978525033
200,50,0.6,12,128268.393176322
200,10,0.7,12,148468.679914197
200,12,0.7,12,148465.999412918
200,14,0.7,12,146552.32670874
200,16,0.7,12,139336.148414541
200,18,0.7,12,140370.03852056
200,20,0.7,12,140896.178443912
200,22,0.7,12,137792.382091739
200,24,0.7,12,138841.10903616
200,26,0.7,12,134962.157475288
200,28,0.7,12,134185.591641717
200,30,0.7,12,132407.030002726
200,32,0.7,12,131911.852590285
200,34,0.7,12,133174.736447338
200,36,0.7,12,129317.331641919
200,38,0.7,12,133225.30193882
200,40,0.7,12,130912.511107081
200,42,0.7,12,130804.3377619
200,44,0.7,12,130621.268602171
200,46,0.7,12,130315.275182546
200,48,0.7,12,129008.466894156
200,50,0.7,12,126863.765825876
200,10,0.8,12,146928.785105026
200,12,0.8,12,146405.366637423
200,14,0.8,12,142076.097419919
200,16,0.8,12,141166.588558872
200,18,0.8,12,142639.743724308
200,20,0.8,12,138300.982035183
200,22,0.8,12,134065.629017779
200,24,0.8,12,138834.454137879
200,26,0.8,12,133561.462485823
200,28,0.8,12,131855.449867452
200,30,0.8,12,133283.970264491
200,32,0.8,12,133689.488345542
200,34,0.8,12,132825.36496626
200,36,0.8,12,130271.698211336
200,38,0.8,12,132215.384379744
200,40,0.8,12,132436.557037311
200,42,0.8,12,130080.287417041
200,44,0.8,12,128031.07524853
200,46,0.8,12,128432.561073157
200,48,0.8,12,126726.553440934
200,50,0.8,12,127214.580051267
200,10,0.9,12,146480.78788532
200,12,0.9,12,139277.944411998
200,14,0.9,12,141289.729087806
200,16,0.9,12,141252.884458096
200,18,0.9,12,138185.247504983
200,20,0.9,12,136444.389806028
200,22,0.9,12,134455.603739113
200,24,0.9,12,138244.656939414
200,26,0.9,12,132637.699791466
200,28,0.9,12,132223.797505338
200,30,0.9,12,133412.479775863
200,32,0.9,12,131098.291636115
200,34,0.9,12,131704.562702803
200,36,0.9,12,129469.754081408
200,38,0.9,12,129669.325394073
200,40,0.9,12,130640.578590121
200,42,0.9,12,128961.335161899
200,44,0.9,12,127560.618667258
200,46,0.9,12,126864.992378073
200,48,0.9,12,125559.815879104
200,50,0.9,12,126757.507370186
200,10,1,12,144208.587014947
200,12,1,12,142093.903647839
200,14,1,12,141715.003667841
200,16,1,12,143188.694933761
200,18,1,12,138635.00085475
200,20,1,12,136092.107486867
200,22,1,12,133579.427894248
200,24,1,12,135676.121244866
200,26,1,12,132662.874133852
200,28,1,12,134235.559643487
200,30,1,12,131087.635846696
200,32,1,12,130734.345373566
200,34,1,12,132511.125607664
200,36,1,12,129508.001586753
200,38,1,12,126336.561301912
200,40,1,12,125977.096341663
200,42,1,12,129237.177214436
200,44,1,12,128163.69062754
200,46,1,12,125936.666540745
200,48,1,12,129659.649944757
200,50,1,12,124001.86083521
